,n_estimators,max_depth,min_samples_split,min_samples_leaf,validation_accuracy
0,100,10,5,5,0.37772585669781933
1,100,10,5,10,0.3870716510903427
2,100,10,5,15,0.39485981308411217
3,100,10,10,5,0.37772585669781933
4,100,10,10,10,0.3870716510903427
5,100,10,10,15,0.39485981308411217
6,100,10,15,5,0.40498442367601245
7,100,10,15,10,0.3870716510903427
8,100,10,15,15,0.39485981308411217
9,100,15,5,5,0.3855140186915888
10,100,15,5,10,0.3917445482866044
11,100,15,5,15,0.39797507788161995
12,100,15,10,5,0.3855140186915888
13,100,15,10,10,0.3917445482866044
14,100,15,10,15,0.39797507788161995
15,100,15,15,5,0.3862928348909657
16,100,15,15,10,0.3917445482866044
17,100,15,15,15,0.39797507788161995
18,100,20,5,5,0.382398753894081
19,100,20,5,10,0.411214953271028
20,100,20,5,15,0.40420560747663553
21,100,20,10,5,0.382398753894081
22,100,20,10,10,0.411214953271028
23,100,20,10,15,0.40420560747663553
24,100,20,15,5,0.3917445482866044
25,100,20,15,10,0.411214953271028
26,100,20,15,15,0.40420560747663553
27,100,25,5,5,0.3909657320872274
28,100,25,5,10,0.3870716510903427
29,100,25,5,15,0.39330218068535827
30,100,25,10,5,0.3909657320872274
31,100,25,10,10,0.3870716510903427
32,100,25,10,15,0.39330218068535827
33,100,25,15,5,0.3917445482866044
34,100,25,15,10,0.3870716510903427
35,100,25,15,15,0.39330218068535827
36,300,10,5,5,0.37538940809968846
37,300,10,5,10,0.3839563862928349
38,300,10,5,15,0.3870716510903427
39,300,10,10,5,0.37538940809968846
40,300,10,10,10,0.3839563862928349
41,300,10,10,15,0.3870716510903427
42,300,10,15,5,0.3855140186915888
43,300,10,15,10,0.3839563862928349
44,300,10,15,15,0.3870716510903427
45,300,15,5,5,0.38161993769470404
46,300,15,5,10,0.382398753894081
47,300,15,5,15,0.3886292834890966
48,300,15,10,5,0.38161993769470404
49,300,15,10,10,0.382398753894081
50,300,15,10,15,0.3886292834890966
51,300,15,15,5,0.3894080996884735
52,300,15,15,10,0.382398753894081
53,300,15,15,15,0.3886292834890966
54,300,20,5,5,0.39641744548286606
55,300,20,5,10,0.3894080996884735
56,300,20,5,15,0.39485981308411217
57,300,20,10,5,0.39641744548286606
58,300,20,10,10,0.3894080996884735
59,300,20,10,15,0.39485981308411217
60,300,20,15,5,0.39485981308411217
61,300,20,15,10,0.3894080996884735
62,300,20,15,15,0.39485981308411217
63,300,25,5,5,0.3862928348909657
64,300,25,5,10,0.397196261682243
65,300,25,5,15,0.3925233644859813
66,300,25,10,5,0.3862928348909657
67,300,25,10,10,0.397196261682243
68,300,25,10,15,0.3925233644859813
69,300,25,15,5,0.40109034267912774
70,300,25,15,10,0.397196261682243
71,300,25,15,15,0.3925233644859813
72,500,10,5,5,0.37461059190031154
73,500,10,5,10,0.3855140186915888
74,500,10,5,15,0.3847352024922118
75,500,10,10,5,0.37461059190031154
76,500,10,10,10,0.3855140186915888
77,500,10,10,15,0.3847352024922118
78,500,10,15,5,0.3886292834890966
79,500,10,15,10,0.3855140186915888
80,500,10,15,15,0.3847352024922118
81,500,15,5,5,0.3917445482866044
82,500,15,5,10,0.3808411214953271
83,500,15,5,15,0.38317757009345793
84,500,15,10,5,0.3917445482866044
85,500,15,10,10,0.3808411214953271
86,500,15,10,15,0.38317757009345793
87,500,15,15,5,0.3956386292834891
88,500,15,15,10,0.3808411214953271
89,500,15,15,15,0.38317757009345793
90,500,20,5,5,0.3987538940809969
91,500,20,5,10,0.3886292834890966
92,500,20,5,15,0.3792834890965732
93,500,20,10,5,0.3987538940809969
94,500,20,10,10,0.3886292834890966
95,500,20,10,15,0.3792834890965732
96,500,20,15,5,0.3886292834890966
97,500,20,15,10,0.3886292834890966
98,500,20,15,15,0.3792834890965732
99,500,25,5,5,0.397196261682243
100,500,25,5,10,0.3901869158878505
101,500,25,5,15,0.3862928348909657
102,500,25,10,5,0.397196261682243
103,500,25,10,10,0.3901869158878505
104,500,25,10,15,0.3862928348909657
105,500,25,15,5,0.40654205607476634
106,500,25,15,10,0.3901869158878505
107,500,25,15,15,0.3862928348909657
